ลำดับ,รหัส อปท.,ชื่ออปท.,ประเภท,อำเภอ,จังหวัด,ภูมิภาค,เว็บไซต์ของเทศบาล
158,04901509,เทศบาลเมืองม่วงงาม,เทศบาลเมือง,สิงหนคร,สงขลา,ใต้,https://mungngam-sk.go.th/frontpage
159,04170102,เทศบาลเมืองสิงห์บุรี,เทศบาลเมือง,เมืองสิงห์บุรี,สิงห์บุรี,กลาง,https://muangsing.go.th/event.php
160,04110113,เทศบาลเมืองแพรกษา,เทศบาลเมือง,เมืองสมุทรปราการ,สมุทรปราการ,กลาง,https://muangpreaksa.go.th/
161,04700204,เทศบาลเมืองจอมพล,เทศบาลเมือง,จอมบึง,ราชบุรี,ตะวันตก,https://muangchomphon.go.th/frontpage
162,04220104,เทศบาลเมืองจันทนิมิต,เทศบาลเมือง,เมืองจันทบุรี,จันทบุรี,ตะวันออก,https://muangchanthanimit.go.th/
163,04440102,เทศบาลเมืองมหาสารคาม,เทศบาลเมือง,เมืองมหาสารคาม,มหาสารคาม,ตะวันออกเฉียงเหนือ,https://main.mkm.go.th/
164,04141101,เทศบาลเมืองลำตาเสา,เทศบาลเมือง,วังน้อย,พระนครศรีอยุธยา,กลาง,https://lamtasao.go.th/
165,04130602,เทศบาลเมืองลำสามแก้ว,เทศบาลเมือง,ลำลูกกา,ปทุมธานี,กลาง,https://lamsamkaeo.go.th/
166,04510102,เทศบาลเมืองลำพูน,เทศบาลเมือง,เมืองลำพูน,ลำพูน,เหนือ,https://lamphuncity.go.th/
167,03520102,เทศบาลนครลำปาง,เทศบาลนคร,เมืองลำปาง,ลำปาง,เหนือ,https://lampangcity.go.th/th
168,04130603,เทศบาลเมืองลาดสวาย,เทศบาลเมือง,ลำลูกกา,ปทุมธานี,กลาง,https://ladsawai.go.th/public/
169,04740202,เทศบาลเมืองกระทุ่มแบน,เทศบาลเมือง,กระทุ่มแบน,สมุทรสาคร,กลาง,https://ktb.go.th/
170,04730602,เทศบาลเมืองกระทุ่มล้ม,เทศบาลเมือง,สามพราน,นครปฐม,กลาง,https://krathumlom.go.th/
171,04400903,เทศบาลเมืองกระนวน,เทศบาลเมือง,กระนวน,ขอนแก่น,ตะวันออกเฉียงเหนือ,https://kranuancity.go.th/public/
172,04130601,เทศบาลเมืองคูคต,เทศบาลเมือง,ลำลูกกา,ปทุมธานี,กลาง,https://khukhot.go.th/
